,,
,            Frequency,            P(V(C:2))
,600,62.00578696
,613.9757954,62.54731631
,628.2771288,63.08166709
,642.9115831,63.60874838
,657.8869177,64.12848038
,673.2110726,64.64079413
,688.8921729,65.14563117
,704.938533,65.64294325
,721.3586608,66.13269193
,738.1612625,66.61484828
,755.3552471,67.08939244
,772.949731,67.55631328
,790.9540431,68.01560799
,809.3777296,68.46728171
,828.2305588,68.9113471
,847.5225268,69.34782398
,867.2638624,69.77673893
,887.4650329,70.19812488
,908.1367491,70.61202075
,929.2899713,71.01847108
,950.9359155,71.41752562
,973.0860584,71.80923902
,995.7521445,72.19367045
,1018.946191,72.57088325
,1042.680497,72.94094463
,1066.967646,73.30392534
,1091.820515,73.65989933
,1117.252282,74.00894353
,1143.276431,74.35113747
,1169.90676,74.68656309
,1197.157389,75.01530444
,1225.042767,75.33744744
,1253.577679,75.65307967
,1282.777254,75.96229008
,1312.656974,76.26516888
,1343.232683,76.56180724
,1374.520592,76.85229717
,1406.537289,77.13673131
,1439.299751,77.4152028
,1472.825349,77.68780505
,1507.131859,77.95463167
,1542.23747,78.2157763
,1578.160795,78.47133249
,1614.920882,78.72139355
,1652.537222,78.96605249
,1691.029759,79.20540189
,1730.418902,79.43953379
,1770.725536,79.66853965
,1811.971032,79.89251021
,1854.17726,80.11153546
,1897.366596,80.32570455
,1941.561942,80.53510575
,1986.786729,80.73982635
,2033.064937,80.93995266
,2080.421103,81.13556994
,2128.880335,81.32676235
,2178.468329,81.51361293
,2229.211375,81.69620353
,2281.136378,81.87461486
,2334.27087,82.04892637
,2388.643023,82.21921627
,2444.281667,82.38556154
,2501.216301,82.54803785
,2559.477113,82.70671959
,2619.094993,82.86167985
,2680.101553,83.01299041
,2742.529138,83.1607217
,2806.410848,83.30494285
,2871.780554,83.44572164
,2938.672916,83.58312453
,3007.123402,83.71721662
,3077.168304,83.84806169
,3148.844761,83.97572218
,3222.190778,84.10025918
,3297.245243,84.22173246
,3374.047951,84.34020045
,3452.639624,84.45572026
,3533.061932,84.56834766
,3615.357516,84.67813711
,3699.570011,84.78514175
,3785.744067,84.88941342
,3873.925374,84.99100261
,3964.160688,85.08995856
,4056.497852,85.18632917
,4150.985826,85.28016105
,4247.674706,85.37149951
,4346.61576,85.46038858
,4447.861448,85.54687099
,4551.46545,85.63098815
,4657.4827,85.71278022
,4765.969408,85.79228603
,4876.983097,85.86954311
,4990.582627,85.94458771
,5106.828229,86.01745475
,5225.78154,86.08817782
,5347.505629,86.1567892
,5472.065036,86.2233198
,5599.525805,86.28779921
,5729.955516,86.3502556
,5863.423326,86.41071577
,6000,86.46920509
,6139.757954,86.52574747
,6282.771288,86.58036535
,6429.115831,86.63307965
,6578.869177,86.68390973
,6732.110726,86.73287334
,6888.921729,86.77998658
,7049.38533,86.82526382
,7213.586608,86.86871766
,7381.612625,86.91035884
,7553.552471,86.95019615
,7729.49731,86.98823634
,7909.540431,87.02448405
,8093.777296,87.05894163
,8282.305588,87.09160907
,8475.225268,87.1224838
,8672.638624,87.15156056
,8874.650329,87.17883122
,9081.367491,87.20428452
,9292.899713,87.22790591
,9509.359155,87.24967722
,9730.860584,87.26957642
,9957.521445,87.28757724
,10189.46191,87.30364882
,10426.80497,87.31775525
,10669.67646,87.32985512
,10918.20515,87.33990096
,11172.52282,87.34783859
,11432.76431,87.3536064
,11699.0676,87.35713453
,11971.57389,87.35834395
,12250.42767,87.35714531
,12535.77679,87.3534377
,12827.77254,87.34710722
,13126.56974,87.3380252
,13432.32683,87.32604626
,13745.20592,87.31100596
,14065.37289,87.292718
,14392.99751,87.27097102
,14728.25349,87.24552469
,15071.31859,87.21610507
,15422.3747,87.18239905
,15781.60795,87.14404762
,16149.20882,87.1006377
,16525.37222,87.05169213
,16910.29759,86.99665735
,17304.18902,86.93488809
,17707.25536,86.86562824
,18119.71032,86.78798666
,18541.7726,86.70090638
,18973.66596,86.60312502
,19415.61942,86.49312309
,19867.86729,86.36905608
,20330.64937,86.22866364
,20804.21103,86.06914661
,21288.80335,85.88699766
,21784.68329,85.67776376
,22292.11375,85.4357064
,22811.36378,85.15330412
,23342.7087,84.8205051
,23886.43023,84.42357044
,24442.81667,83.94322084
,25012.16301,83.35154514
,25594.77113,82.60658979
,26190.94993,81.64232398
,26801.01553,80.3486508
,27425.29138,78.52783961
,28064.10848,75.78781838
,28717.80554,71.23686064
,29386.72916,62.40829782
,30071.23402,40.63552191
,30771.68304,-12.51477544
,31488.44761,-52.99168661
,32221.90778,-67.84209345
,32972.45243,-74.5107579
,33740.47951,-78.19634692
,34526.39624,-80.51507235
,35330.61932,-82.10259682
,36153.57516,-83.25538155
,36995.70011,-84.1293633
,37857.44067,-84.81412483
,38739.25374,-85.3647022
,39641.60688,-85.81673703
,40564.97852,-86.19431167
,41509.85826,-86.51427597
,42476.74706,-86.78876853
,43466.1576,-87.02675334
,44478.61448,-87.23499234
,45514.6545,-87.41868154
,46574.827,-87.5818788
,47659.69408,-87.72779875
,48769.83097,-87.85902064
,49905.82627,-87.97763761
,51068.28229,-88.0853658
,52257.8154,-88.1836254
,53475.05629,-88.27360156
,54720.65036,-88.35629102
,55995.25805,-88.43253792
,57299.55516,-88.50306187
,58634.23326,-88.56847994
,60000,-88.62932428
,61397.57954,-88.68605612
,62827.71288,-88.73907714
,64291.15831,-88.78873875
,65788.69177,-88.83534963
,67321.10726,-88.87918201
,68889.21729,-88.92047685
,70493.8533,-88.95944817
,72135.86608,-88.99628667
,73816.12625,-89.0311628
,75535.52471,-89.06422937
,77294.9731,-89.09562372
,79095.40431,-89.12546965
,80937.77296,-89.15387897
,82823.05588,-89.18095298
,84752.25268,-89.20678361
,86726.38624,-89.23145447
,88746.50329,-89.25504179
,90813.67491,-89.27761517
,92928.99713,-89.29923832
,95093.59155,-89.31996962
,97308.60584,-89.3398627
,99575.21445,-89.35896688
,101894.6191,-89.3773276
,104268.0497,-89.39498679
,106696.7646,-89.41198323
,109182.0515,-89.42835276
,111725.2282,-89.44412866
,114327.6431,-89.45934176
,116990.676,-89.47402077
,119715.7389,-89.48819236
,122504.2767,-89.50188142
,125357.7679,-89.51511114
,128277.7254,-89.52790321
,131265.6974,-89.54027789
,134323.2683,-89.55225415
,137452.0592,-89.5638498
,140653.7289,-89.57508152
,143929.9751,-89.58596499
,147282.5349,-89.59651495
,150713.1859,-89.6067453
,154223.747,-89.61666909
,157816.0795,-89.62629868
,161492.0882,-89.6356457
,165253.7222,-89.64472117
,169102.9759,-89.65353548
,173041.8902,-89.66209851
,177072.5536,-89.67041958
,181197.1032,-89.67850755
,185417.726,-89.68637084
,189736.6596,-89.69401744
,194156.1942,-89.70145493
,198678.6729,-89.70869055
,203306.4937,-89.71573119
,208042.1103,-89.7225834
,212888.0335,-89.72925345
,217846.8329,-89.73574731
,222921.1375,-89.74207069
,228113.6378,-89.74822905
,233427.087,-89.7542276
,238864.3023,-89.76007135
,244428.1667,-89.76576508
,250121.6301,-89.77131338
,255947.7113,-89.77672065
,261909.4993,-89.78199112
,268010.1553,-89.78712885
,274252.9138,-89.79213773
,280641.0848,-89.79702151
,287178.0554,-89.8017838
,293867.2916,-89.80642807
,300712.3402,-89.81095766
,307716.8304,-89.81537581
,314884.4761,-89.8196856
,322219.0778,-89.82389005
,329724.5243,-89.82799203
,337404.7951,-89.83199435
,345263.9624,-89.8358997
,353306.1932,-89.83971069
,361535.7516,-89.84342982
,369957.0011,-89.84705955
,378574.4067,-89.85060223
,387392.5374,-89.85406013
,396416.0688,-89.85743547
,405649.7852,-89.86073039
,415098.5826,-89.86394696
,424767.4706,-89.86708719
,434661.576,-89.87015303
,444786.1448,-89.87314637
,455146.545,-89.87606904
,465748.27,-89.87892282
,476596.9408,-89.88170945
,487698.3097,-89.88443058
,499058.2627,-89.88708786
,510682.8229,-89.88968287
,522578.154,-89.89221714
,534750.5629,-89.89469217
,547206.5036,-89.89710942
,559952.5805,-89.89947029
,572995.5516,-89.90177615
,586342.3326,-89.90402835
,600000,-89.90622819
,613975.7954,-89.90837693
,628277.1288,-89.91047581
,642911.5831,-89.91252601
,657886.9177,-89.91452872
,673211.0726,-89.91648507
,688892.1729,-89.91839615
,704938.533,-89.92026307
,721358.6608,-89.92208685
,738161.2625,-89.92386854
,755355.2471,-89.92560912
,772949.731,-89.92730957
,790954.0431,-89.92897083
,809377.7296,-89.93059383
,828230.5588,-89.93217948
,847522.5268,-89.93372864
,867263.8624,-89.93524218
,887465.0329,-89.93672093
,908136.7491,-89.9381657
,929289.9713,-89.93957729
,950935.9155,-89.94095648
,973086.0584,-89.94230402
,995752.1445,-89.94362064
,1018946.191,-89.94490707
,1042680.497,-89.94616401
,1066967.646,-89.94739215
,1091820.515,-89.94859215
,1117252.282,-89.94976466
,1143276.431,-89.95091033
,1169906.76,-89.95202977
,1197157.389,-89.95312359
,1225042.767,-89.95419239
,1253577.679,-89.95523673
,1282777.254,-89.9562572
,1312656.974,-89.95725433
,1343232.683,-89.95822867
,1374520.592,-89.95918073
,1406537.289,-89.96011104
,1439299.751,-89.9610201
,1472825.349,-89.96190839
,1507131.859,-89.96277639
,1542237.47,-89.96362457
,1578160.795,-89.96445338
,1614920.882,-89.96526327
,1652537.222,-89.96605467
,1691029.759,-89.96682801
,1730418.902,-89.9675837
,1770725.536,-89.96832215
,1811971.032,-89.96904375
,1854177.26,-89.96974888
,1897366.596,-89.97043793
,1941561.942,-89.97111127
,1986786.729,-89.97176924
,2033064.937,-89.97241222
,2080421.103,-89.97304052
,2128880.335,-89.97365451
,2178468.329,-89.97425449
,2229211.375,-89.9748408
,2281136.378,-89.97541374
,2334270.87,-89.97597362
,2388643.023,-89.97652074
,2444281.667,-89.97705538
,2501216.301,-89.97757785
,2559477.113,-89.9780884
,2619094.993,-89.97858732
,2680101.553,-89.97907488
,2742529.138,-89.97955132
,2806410.848,-89.98001691
,2871780.554,-89.98047189
,2938672.916,-89.9809165
,3007123.402,-89.98135098
,3077168.304,-89.98177557
,3148844.761,-89.98219048
,3222190.778,-89.98259594
,3297245.243,-89.98299217
,3374047.951,-89.98337937
,3452639.624,-89.98375775
,3533061.932,-89.98412752
,3615357.516,-89.98448886
,3699570.011,-89.98484197
,3785744.067,-89.98518704
,3873925.374,-89.98552425
,3964160.688,-89.98585378
,4056497.852,-89.9861758
,4150985.826,-89.9864905
,4247674.706,-89.98679802
,4346615.76,-89.98709855
,4447861.448,-89.98739223
,4551465.45,-89.98767922
,4657482.7,-89.98795968
,4765969.408,-89.98823375
,4876983.097,-89.98850158
,4990582.627,-89.98876331
,5106828.229,-89.98901908
,5225781.54,-89.98926903
,5347505.629,-89.98951329
,5472065.036,-89.98975199
,5599525.805,-89.98998525
,5729955.516,-89.9902132
,5863423.326,-89.99043596
,6000000,-89.99065365